"Time (s)","Illuminance (lx)"
6.606126090E2,7.100000000E1
6.608126022E2,2.400000000E1
6.610126090E2,1.000000000E0
6.612126009E2,2.000000000E0
6.632126012E2,1.700000000E1
6.634126015E2,6.400000000E1
6.636126009E2,9.400000000E1
6.640126004E2,9.300000000E1
6.642126014E2,9.200000000E1
6.644126006E2,9.300000000E1
6.646126092E2,9.200000000E1
6.662126009E2,9.300000000E1
6.672126502E2,9.200000000E1
6.692125934E2,9.300000000E1
6.708126004E2,9.200000000E1
6.710126012E2,9.300000000E1
6.726126213E2,9.200000000E1
6.730126084E2,9.300000000E1
6.770126012E2,9.400000000E1
6.772126087E2,9.300000000E1
